W/FCO,H2/CO,Temp,pressure,X_CO,S_CH4,S_C2C4p,S_C2C4=
0.0,0.0,0.0,0.0,0.007192431216463336,0.0,0.0,0.044803316324908644
0.11111111111111105,0.0,0.0,0.0,0.01234828149047067,1.9714393201690928e-05,8.281800114619698e-05,0.046698879256930025
0.2222222222222222,0.0,0.0,0.0,0.017191554059143046,3.90463011463837e-05,0.00016342782528394953,0.04853990772908553
0.33333333333333337,0.0,0.0,0.0,0.021760845149471953,5.792238486625721e-05,0.000241589449294925,0.050320767634792214
0.4444444444444444,0.0,0.0,0.0,0.02608910892513368,7.631068027002207e-05,0.0003172346839938598,0.05203991956333449
0.5555555555555556,0.0,0.0,0.0,0.030204232590804788,9.420406559227648e-05,0.0003903937221503696,0.05369816636609132
0.6666666666666665,0.0,0.0,0.0,0.034129764004590765,0.00011161042100606415,0.0004611529747864736,0.05529764623746331
0.7777777777777777,0.0,0.0,0.0,0.03788564925828322,0.00012854566461439074,0.0005296255682282172,0.05684112988212082
0.8888888888888891,0.0,0.0,0.0,0.041488854270055525,0.00014503009549736857,0.000595936767732183,0.05833167231698164
1.0,0.0,0.0,0.0,0.04495390164282685,0.00016108569046412744,0.0006602132077726543,0.05977235685497522
0.0,0.0,0.0,0.07142857142857142,0.009200908710671443,5.257102522951624e-05,0.00040090278598866767,0.02549440711447292
0.11111111111111105,0.0,0.0,0.07142857142857142,0.014396656064224977,7.993737956803833e-05,0.0005231302298023409,0.02744074172889136
0.2222222222222222,0.0,0.0,0.07142857142857142,0.01924432099559455,0.00010615910096187708,0.0006394103384856314,0.029283773670604855
0.33333333333333337,0.0,0.0,0.07142857142857142,0.023795768157816668,0.00013130380809903348,0.0007501894226318267,0.031031282361761052
0.4444444444444444,0.0,0.0,0.07142857142857142,0.02809220302221359,0.00015545048859498794,0.0008559388431896449,0.032691433704688196
0.5555555555555556,0.0,0.0,0.07142857142857142,0.03216672032769985,0.00017867891052943694,0.0009571115094840345,0.03427205376298024
0.6666666666666665,0.0,0.0,0.07142857142857142,0.03604623265441352,0.00020106439327975505,0.0010541224030651913,0.03578030614003105
0.7777777777777777,0.0,0.0,0.07142857142857142,0.03975287484079042,0.00022267639217856566,0.0011473461026768141,0.03722265372792032
